STA,Lat,Long
26470,-6.211380749,106.5491486
26475,-6.211350599,106.5491149
26480,-6.211320485,106.5490812
26485,-6.211290362,106.5490475
26490,-6.211260293,106.5490137
26495,-6.211230252,106.54898
26500,-6.211200219,106.5489462
26505,-6.211170241,106.5489124
26510,-6.211140263,106.5488786
26515,-6.21111034,106.5488447
26520,-6.211080443,106.5488108
26525,-6.211050574,106.5487769
26530,-6.211020786,106.5487429
26535,-6.210990999,106.5487089
26540,-6.21096132,106.5486748
26545,-6.210931705,106.5486407
26550,-6.210902098,106.5486065
26555,-6.210872592,106.5485723
26560,-6.210843076,106.5485381
26565,-6.210813678,106.5485037
26570,-6.210784326,106.5484694
26575,-6.210755001,106.548435
26580,-6.210725757,106.5484005
26585,-6.210696513,106.5483661
26590,-6.210667433,106.5483315
26595,-6.210638434,106.5482968
26600,-6.210609444,106.5482621
26605,-6.210580463,106.5482275
26610,-6.210551491,106.5481928
26615,-6.210522619,106.548158
26620,-6.210493802,106.5481232
26625,-6.21046502,106.5480883
26630,-6.210436447,106.5480533
26635,-6.210407865,106.5480183
26640,-6.21037941,106.5479832
26645,-6.210351019,106.547948
26650,-6.210322681,106.5479128
26655,-6.210294652,106.5478774
26660,-6.210266623,106.5478419
26665,-6.210238784,106.5478063
26670,-6.210211018,106.5477707
26675,-6.210183288,106.547735
26680,-6.210155685,106.5476992
26685,-6.210128082,106.5476634
26690,-6.210100642,106.5476275
26695,-6.210073275,106.5475915
26700,-6.210045961,106.5475555
26705,-6.210018884,106.5475194
26710,-6.209991807,106.5474832
26715,-6.209964928,106.5474468
26720,-6.20993815,106.5474104
26725,-6.209911435,106.547374
26730,-6.209885037,106.5473373
26735,-6.20985864,106.5473006
26740,-6.209832341,106.5472639
26745,-6.209806098,106.5472271
26750,-6.209779872,106.5471903
26755,-6.209753746,106.5471534
26760,-6.20972762,106.5471165
26765,-6.209701684,106.5470795
26770,-6.209675848,106.5470424
26775,-6.209650058,106.5470053
26780,-6.209624485,106.5469681
26785,-6.20959892,106.5469308
26790,-6.209573646,106.5468933
26795,-6.209548517,106.5468558
26800,-6.209523451,106.5468182
26805,-6.209498684,106.5467804
26810,-6.209473917,106.5467426
26815,-6.209449395,106.5467046
26820,-6.209425009,106.5466666
26825,-6.209400686,106.5466285
26830,-6.209376716,106.5465902
26835,-6.209352747,106.5465519
26840,-6.209328886,106.5465135
26845,-6.20930507,106.5464751
26850,-6.209281273,106.5464367
26855,-6.209257593,106.5463982
26860,-6.209233905,106.5463597
26865,-6.209210533,106.546321
26870,-6.209187324,106.5462822
26875,-6.209164125,106.5462435
26880,-6.209141007,106.5462046
26885,-6.209117879,106.5461658
26890,-6.209094979,106.5461269
26895,-6.209072214,106.5460878
26900,-6.209049495,106.5460488
26905,-6.209027146,106.5460095
26910,-6.209004807,106.5459702
26915,-6.208982622,106.5459308
26920,-6.208960546,106.5458914
26925,-6.208938479,106.545852
26930,-6.208916484,106.5458125
26935,-6.208894489,106.545773
26940,-6.208872702,106.5457334
26945,-6.208851052,106.5456938
26950,-6.208829428,106.5456541
26955,-6.208808022,106.5456143
26960,-6.208786625,106.5455745
26965,-6.208765527,106.5455345
26970,-6.20874461,106.5454945
26975,-6.208723729,106.5454544
26980,-6.208703083,106.5454142
26985,-6.208682438,106.545374
26990,-6.208661983,106.5453337
26995,-6.208641645,106.5452934
27000,-6.208621371,106.545253
27005,-6.208601514,106.5452124
27010,-6.208581656,106.5451718
27015,-6.208561943,106.5451311
27020,-6.208542321,106.5450904
27025,-6.208522745,106.5450497
27030,-6.208503494,106.5450088
27035,-6.208484252,106.5449679
27040,-6.208465146,106.544927
27045,-6.208446131,106.544886
27050,-6.208427161,106.544845
27055,-6.208408526,106.5448038
27060,-6.2083899,106.5447627
27065,-6.208371436,106.5447214
27070,-6.208353082,106.5446801
27075,-6.208334746,106.5446388
27080,-6.208316645,106.5445974
27085,-6.208298544,106.544556
27090,-6.208280652,106.5445145
27095,-6.208262904,106.544473
27100,-6.208245192,106.5444314
27105,-6.208227933,106.5443896
27110,-6.208210684,106.5443479
27115,-6.20819366,106.544306
27120,-6.208176791,106.5442641
27125,-6.208159966,106.5442222
27130,-6.208143522,106.5441801
27135,-6.208127087,106.544138
27140,-6.208110788,106.5440958
27145,-6.208094589,106.5440537
27150,-6.208078398,106.5440115
27155,-6.208062343,106.5439692
27160,-6.208046288,106.543927
27165,-6.208030388,106.5438847
27170,-6.208014604,106.5438424
27175,-6.207998848,106.5438
27180,-6.207983509,106.5437575
27185,-6.20796816,106.543715
27190,-6.207953029,106.5436725
27195,-6.207938042,106.5436298
27200,-6.207923074,106.5435872
27205,-6.20790835,106.5435445
27210,-6.207893635,106.5435018
27215,-6.207879073,106.543459
27220,-6.207864648,106.5434162
27225,-6.207850241,106.5433733
27230,-6.207836087,106.5433304
27235,-6.207821933,106.5432875
27240,-6.207808051,106.5432445
27245,-6.207794386,106.5432014
27250,-6.207780748,106.5431584
27255,-6.207767372,106.5431152
27260,-6.207753997,106.5430721
27265,-6.207740893,106.5430288
27270,-6.207727997,106.5429855
27275,-6.20771512,106.5429422
27280,-6.207702505,106.5428988
27285,-6.207689889,106.5428554
27290,-6.207677537,106.542812
27295,-6.207665383,106.5427684
27300,-6.207653248,106.5427249
27305,-6.207641384,106.5426813
27310,-6.207629511,106.5426377
27315,-6.207617819,106.5425941
27320,-6.207606262,106.5425504
27325,-6.207594724,106.5425067
27330,-6.207583439,106.542463
27335,-6.207572154,106.5424192
27340,-6.20756096,106.5423754
27345,-6.207549838,106.5423317
27350,-6.207538734,106.5422879
27355,-6.207528074,106.542244
27360,-6.207517404,106.5422
27365,-6.207506871,106.5421561
27370,-6.207496455,106.5421121
27375,-6.207486048,106.5420682
27380,-6.207475894,106.5420241
27385,-6.207465749,106.5419801
27390,-6.207455605,106.5419361
27395,-6.207445451,106.5418921
27400,-6.207435324,106.541848
27405,-6.207425705,106.5418039
27410,-6.207416085,106.5417597
27415,-6.207406519,106.5417156
27420,-6.207396999,106.5416714
27425,-6.207387488,106.5416272
27430,-6.207378194,106.541583
27435,-6.207368891,106.5415388
27440,-6.207359723,106.5414946
